experiment,scenario,run_id,tick,carla_frame,simulation_time_s,ego_speed_mps,ego_acceleration_mps2,ground_truth_object_type,distance_to_object_m,camera_vehicle_pixels,camera_pedestrian_pixels,camera_traffic_light_pixels,bev_vehicle_pixels,bev_walker_pixels,bev_stop_sign_pixels,bev_light_green_pixels,bev_light_yellow_pixels,bev_light_red_pixels,prob_speed_0,prob_speed_2,prob_speed_3,prob_speed_6,pred_target_speed_mps,decided_action,previous_action,decision_changed,throttle,brake,steer,target_point_x,target_point_y,road_command,expected_perception,actual_perception,perception_correct,expected_safe_action,action_correct,timely_action,collision,time_to_collision_s
Object in Road,Chair,run_2,0,179201,0.0,1.9600002765655518,9.800003051757812,chair,29.666794657707214,0,0,0,28,0,0,0,0,0,6.76885235861846e-07,0.0001357451983494684,2.080311560348491e-06,0.999861478805542,5.999446392059326,go_fast,stop,True,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_2,5,179206,0.25,0.11209821701050988,12.519777298004447,chair,29.664284586906433,0,0,0,0,0,0,0,0,0,2.4348121314687887e-06,4.881322820438072e-05,3.023660383405513e-06,0.9999457597732544,5.999781608581543,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_2,10,179211,0.5,0.16076517105112245,0.8133867383161851,chair,29.664215922355652,0,0,0,11,0,0,0,0,0,1.2372589708320447e-06,2.5289631594205275e-05,2.7032340312871384e-06,0.9999707937240601,5.99988317489624,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_2,15,179216,0.75,2.568322561305926,6.656513628995675,chair,29.295004725456238,0,22,0,2,0,0,0,0,0,4.297511395634501e-07,2.1589428797597066e-05,1.4126005680736853e-06,0.9999765157699585,5.999906063079834,go_fast,go_fast,False,0.75,0.0,-0.5049999952316284,49.38136291503906,-0.13953135907649994,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,11.5486518841096
Object in Road,Chair,run_2,20,179221,1.0,3.766167881670958,6.238314326864355,chair,28.505999445915222,0,1,0,21,0,0,0,0,0,1.164985178547795e-06,3.3289743441855535e-05,2.2085280306782806e-06,0.9999632835388184,5.999853134155273,go_fast,go_fast,False,0.75,0.0,-0.37599998712539673,48.4261589050293,4.00866174697876,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,8.18694481751837
Object in Road,Chair,run_2,25,179226,1.25,4.9411374300329856,5.142105872877531,chair,27.479023814201355,150,0,0,35,0,0,0,0,0,1.4146119156066561e-06,1.0739126992120873e-05,1.9138967672915896e-06,0.999985933303833,5.999942779541016,go_fast,go_fast,False,0.75,0.0,-0.296999990940094,46.229087829589844,11.17813491821289,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,6.248308332207397
Object in Road,Chair,run_2,30,179231,1.5,5.546472487458341,4.358111480930431,chair,26.287466883659363,0,0,0,22,0,0,0,0,0,8.052733733165951e-07,2.9800503398291767e-06,4.756666953653621e-07,0.9999957084655762,5.99998140335083,go_fast,go_fast,False,0.75,0.0,-0.16200000047683716,42.903076171875,17.566410064697266,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,5.64661525798119
Object in Road,Chair,run_2,35,179236,1.75,6.678827283233936,4.383164502081892,chair,24.983063578605652,74,25,0,0,0,0,0,0,0,1.4537619790644385e-05,7.0145842983038165e-06,1.0886610652960371e-06,0.9999773502349854,5.999881267547607,go_fast,go_fast,False,0.0,1.0,0.03099999949336052,39.54249572753906,21.549802780151367,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,4.634115961036427
Object in Road,Chair,run_2,40,179241,2.0,6.457032520737554,2.774890239178074,chair,23.565218806266785,22,147,0,41,0,0,0,0,0,6.8554209065041505e-06,1.1216741768294014e-05,2.2766448637412395e-06,0.9999796152114868,5.99990701675415,go_fast,go_fast,False,0.04374999925494194,0.0,0.1899999976158142,37.770172119140625,21.732688903808594,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,4.385785839811372
Object in Road,Chair,run_2,45,179246,2.25,5.569624031944264,4.93345304943047,chair,22.27250373363495,111,128,0,0,0,0,0,0,0,1.8662518641576753e-06,1.90089012903627e-05,1.7840546206571162e-05,0.999961256980896,5.999858856201172,go_fast,go_fast,False,0.75,0.0,0.21299999952316284,37.850868225097656,18.75190544128418,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,4.496580221573381
Object in Road,Chair,run_2,50,179251,2.5,5.606964004526078,4.291918515620106,chair,21.02501952648163,108,183,0,8,0,0,0,0,0,7.835097903807764e-07,5.0025046220980585e-06,5.457818588183727e-06,0.9999887943267822,5.9999589920043945,go_fast,go_fast,False,0.75,0.0,0.20399999618530273,38.2304573059082,14.688714027404785,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,4.0614608933011205
Object in Road,Chair,run_2,55,179256,2.75,6.384851699708818,3.6809112482985746,chair,19.607996821403503,89,193,0,0,0,0,0,0,0,6.1625087255379185e-06,1.639919719309546e-05,6.53291426715441e-05,0.9999121427536011,5.999701499938965,go_fast,go_fast,False,0.0,0.0,0.17900000512599945,38.10880661010742,10.387935638427734,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,3.2494480850071694
Object in Road,Chair,run_2,60,179261,3.0,6.515681223477612,2.927603635919899,chair,18.02613914012909,537,137,0,0,0,0,0,0,0,3.1650986898057454e-07,3.2523375921300612e-06,5.549930847337237e-06,0.9999909400939941,5.999969005584717,go_fast,go_fast,False,0.05624999850988388,0.0,0.13699999451637268,37.3465576171875,6.340586185455322,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,2.8844754052880073
